362,True,LOSER,LOSER
420,True,LOSER,LOSER
604,False,LOSER,LOSER
699,False,LOSER,LOSER
698,True,WINNER,WINNER
602,True,LOSER,LOSER
744,True,WINNER,WINNER
538,True,WINNER,WINNER
421,False,WINNER,WINNER
496,True,WINNER,WINNER
1,NEUTRAL
2,NEVER
3,YES, Ein Bisschen Frieden
4,YES, I conducted several courses and used several deep learning methods for my own projects
5,17
6,MALE
7,"Scandinavian country, uplifting sound"
8,Difficult to say
fai_2,NEUTRAL
rel_2,NEUTRAL
fai_4,NEUTRAL
fai_1,NEUTRAL
com_3,NEUTRAL
com_2,NEUTRAL
rel_5,NEUTRAL
com_5,NEUTRAL
rel_1,NEUTRAL
fai_3,NEUTRAL
com_1,NEUTRAL
fai_5,NEUTRAL
1681832263.137687, 1681832528.8844464, 1681832751.4273539
